Listing Name,Price,Reviews
 Cozy Downtown Atlanta house with comfortable room.,$85,12 reviews
 Private Bed+Bath Near Everything,$45,88 reviews
 Master with Private Bath,$40,49 reviews
 Affordable Housing,$18,5 reviews
 Sunny Historic Grant Park Room,$51,127 reviews
 Comfy and Close to the places you visit most!,$65,11 reviews
 Midtown Apt - Awesome Views - Parking Option,$85,1 review
 Peachtree Towers  hour Concierge,$100,19 reviews
" Private Rm, . Miles from DWTN ATL",$48,11 reviews
 Sunny Apartment Home in the heart of Midtown.,$100,1 review
" Private Queen Midtown Atlanta, GA ",$39,12 reviews
 Renovated home in Hapeville,$45,17 reviews
 Cozy Comfort in Midtown,$55,20 reviews
 West Midtown,$90,1 review
 Private Room in West Midtown,$60,12 reviews
 PrivateRoom/PrivateBath/Train/GaDome/Dwntwn,$35,9 reviews
 VaHi private BR/BA/balcony,$32,3 reviews
 Atlanta Midtown -- Walk to Piedmont Park,$59,20 reviews
 Historic Loft Directly on Atlanta's Beltline,$138,50 reviews
" Spacious Midtown ""Pied-a-Terre"" in Ansley Park",$99,100 reviews
 Own contemporary apartment.,$80,16 reviews
" Trendy Condo with Southern Charm, Downtown Atlanta",$75,107 reviews
 Family friendly apartment (A),$85,3 reviews
 VaHi private BR/BA/balcony,$32,56 reviews
 Stylish Urban Living in Buckhead,$95,52 reviews
" Welcome Business Travelers, Students, Tourists!",$59,50 reviews
 SUPER CONVENIENT  BED APT NEAR AIRPORT,$90,24 reviews
 Prime Location Buckhead Condo,$125,60 reviews
 Virginia Highlands  bedroom lovely townhome ️,$79,29 reviews
 Hipster Apartment (w/ parking spot),$79,17 reviews
 Renovated home in Hapeville,$45,19 reviews
 Peachtree Towers  hour Concierge,$100,12 reviews
 Cozy Downtown Atlanta house with comfortable room.,$85,88 reviews
 Private Bed+Bath Near Everything,$45,18 reviews
" Spacious, family-friendly house",$99,4 reviews
 Oversized Inman Park Room,$40,113 reviews
 Comfort & Cabbagetown,$50,40 reviews
 MUJASI' SUNNY CITY BEACH GALLERY in HEART of EAV,$79,8 reviews
 Quiet/sophisticated/centralized BR in Brookhaven,$59,91 reviews
 Private ATL Carriage House & Loft,$89,110 reviews
 Modern Loft- Spectacular City View!,$89,60 reviews
 Virginia Highlands  bedroom lovely townhome ️,$79,130 reviews
 Cozy Condo Downtown Atlanta,$65,4 reviews
 Downtown Luxurious Living best view in the city,$120,19 reviews
 Downtown Oasis,$99,14 reviews
 Charming Apartment In West Midtown - Great Value!,$65,56 reviews
 Stylish Urban Living in Buckhead,$95,19 reviews
 Amazing view from an Amazing Condo!,$98,102 reviews
  Bedroom in Central Downtown!,$59,65 reviews
 Castleberry Hills historical neighborhood -,$50,30 reviews
 Historic Downtown Loft,$78,88 reviews
 Private Bed+Bath Near Everything,$45,7 reviews
 Magnificent Midtown Location By Piedmont Park,$100,104 reviews
 Lux  Living Space,$33,12 reviews
 Private Room in West Midtown,$60,11 reviews
 Entire level in beautiful downtown,$61,4 reviews
 Terrace Level Guest Suite,$129,17 reviews
 Super Midtown Location by Piedmont Park,$99,21 reviews
" Mid/Downtown, Simple BR/BA Condo",$99,102 reviews
 Newly Renovated Downtown Atl Condo!,$110,8 reviews
 OW Apartment next to Belt-line,$40,37 reviews
 Downtown ATLANTA CONDO min from all  attractions,$69,28 reviews
 Modern cozy apartment in the heart of Buckhead,$104,3 reviews
 Maryposa,$50,11 reviews
 Independent Suite-- and I'll make you pancakes.,$30,128 reviews
 Midtown Atlanta Modern Cottage,$110,127 reviews
 Vibrant Edgewood Townhouse w private yard,$127,27 reviews
